snake_name,scientific_name,toxicity,size
Common Death Adder,Acanthophis antarcticus,venomous 💀💀💀💀 very dangerous bite,Length: 15.0 to 100.0 cm
Plains Death Adder,Acanthophis hawkei,venomous 💀💀💀💀 very dangerous bite,Length: up to 130.0 cm
New Guinea Death Adder,Acanthophis laevis,venomous 💀💀💀💀 very dangerous bite,Length: 18.0 to 110.0 cm
Northern Death Adder,Acanthophis praelongus,venomous 💀💀💀💀 very dangerous bite,Length: up to 89.0 cm
Desert Death Adder,Acanthophis pyrrhus,venomous 💀💀💀💀 very dangerous bite,Length: up to 75.0 cm
Rough Scaled Death Adder,Acanthophis rugosus,venomous 💀💀💀💀 very dangerous bite,Length: up to 110.0 cm
Pilbara Death Adder,Acanthophis wellsi,venomous 💀💀💀💀 very dangerous bite,Length: up to 54.0 cm
Kimberley Death Adder,Acanthophis cryptamydros,venomous 💀💀💀💀 very dangerous bite,Length: up to 64.5 cm
Bourret's Odd Scaled Snake,Achalinus ater,non-venomous ---,Length: up to 43.0 cm
Formosa Odd Scaled Snake,Achalinus formosanus,non-venomous ---,Length: up to 100.0 cm
Hainan Odd Scaled Snake,Achalinus hainanus,non-venomous ---,Length: up to 31.0 cm
Zong's Odd Scaled Snake,Achalinus jinggangensis,non-venomous ---,Length: up to 46.0 cm
Szechwan Odd Scaled Snake,Achalinus meiguensis,non-venomous ---,Length: up to 64.0 cm
Black Odd Scaled Snake,Achalinus niger,non-venomous ---,Length: up to 80.0 cm
Rufous Burrowing Snake,Achalinus rufescens,non-venomous ---,Length: up to 40.0 cm
Peters' Odd Scaled Snake,Achalinus spinalis,non-venomous ---,Length: up to 60.0 cm
Amami Takachiho Snake,Achalinus werneri,non-venomous ---,Length: unknown
Dumeril's Ground Boa,Acrantophis dumerili,non-venomous 🐍🐍 constrictor – harmful,Length: up to 200.0 cm
Madagascar Ground Boa,Acrantophis madagascariensis,non-venomous 🐍🐍🐍 constrictor – dangerous,Length: 60.0 to 300.0 cm
Arafura File Snake,Acrochordus arafurae,non-venomous ---,Length: up to 250.0 cm
Little File Snake,Acrochordus granulatus,non-venomous ---,Length: 22.0 to 122.0 cm
Elephant Trunk Snake,Acrochordus javanicus,non-venomous ---,Length: 20.0 to 290.0 cm
Banao's Blind Snake,Acutotyphlops banaorum,non-venomous ---,Length: unknown
Red Blind Snake,Acutotyphlops infralabialis,non-venomous ---,Length: unknown
Kunua Blind Snake,Acutotyphlops kunuaensis,non-venomous ---,Length: unknown
Solomon Islands Blind Snake,Acutotyphlops solomonis,non-venomous ---,Length: unknown
Bismarck Sharp Nosed Blind Snake,Acutotyphlops subocularis,non-venomous ---,Length: unknown
Cope's Mountain Meadow Snake,Adelophis copei,unclear toxicity ??? unclear dangerousness,Length: up to 31.0 cm
